clean_text,category
"rahul gandhi life goals are simple become india
⬇️
grow potatoes grabbed land
⬇️
make gold modi jealous  ",0
appeals everyone during tweetstorm via namo app ,0
are cleaning the defecation four generation from nehru rahul how can visible fast this senseless lady speaks our forefathers has led best their life and this generation suffering because modi,1
this guy truely something else ,1
the star campaigner myth bjp lost more than assembly constituencies where narendra modi campaigned during recent 5state polls ,1
under modi and bjp its hindunationalist india sweetiepie ,0
"unprecedented agrarian crisis
record farmers suicide last years
destroying autonomy each and every institutions india
destroying independence india media news channels
some the achievement modi govt",1
thatvis during upa ruling these modishah duo are not letting the delhi police their job instead duo has ordered harassing opposition and college students,0
just like fake gandhi’ fake modi’ will there,2
"rajasthan governor kalyan singh aligarh 23rd march all are bjp workers and want the bjp emerge victorious want that once again modi should become the important for the country
",1
congress party and its desire make powerful only nehrugandhi family put brake india development modi govt has disengaged the brake now,1
india  uae  relationship has been great success story government vision leadership sheikh mohammed bin zayed prime minister modi slowly but surely taking shape ,1
inc doing better with modishah the helm bjp not poaching experienced inc leaders fill their own lacunae  far dynasty word concerned have hard look within bjp for bail despite powerful yrs bjp could only manage much  ,1
still hybernatingur frnd nirav modi got arrested ths modiji india kya bahar bhi haath dalakar kar dabochenge true national eader modijia bimbo profession reality read sum news will definitey give competition dumbnes,1
friday had expressed shock over his name being mentioned credits the film ,0
one vote can make all the difference answers modis election 2019 clarion call extends support his campaign via namo app ,0
one other thing the campaign will now start well get feel for the whole thing soon modi the campaign trail formidable opponent but think bjps messaging has multipronged cant just modi the messiah messaging,1
narendra modi urges noted personalities spread voter awareness ,0
"she has asked three questions from modi and her questions are valid you could kindly answer them small vides minute but important
",1
bharat where even the leave for his term just like his records ,0
prime minister narendra modi has urged voters across the country turn large numbers vote the upcoming lok sabha elections series tweets modi said ,1
anyone better than modi when nehruji expired said there was alternative but shastiji proved was the best ever everybody including modi dispensible,1
dont think you bought anything why whining elections are the card let people decide whether they want buy from modi not and dont blame evms 23rd may eci has clearly said yhat elections will held using evms dont vote you dont trust evm,1
will not wear heart while vote this timechances heart failure,2
support with leader honble prime minister narendra modi for new india ,1
modi bjp indians never played any victim card the called lsl who choose fool people the name journalism liberalism play this card see digested when called intolerant you all still talking butcher called cattel class,2
idiot ever heard the russian sukhoi mki the best jet iaf has its fleet currently built indigenously hal for our air force farzi deshbhakts like you wont even hesitate shit our own company defend your baap modi pathetic,2
and imran masood who want chop modi liberals grace ,0
through our vote ensure govt need and deserve responds modis appeal for the 2019 elections via namo app ,0
this shows how this government wrecking the environment ,0
this time blind faith modi… absolute hate for congress milind deora elections news the indian express ,2
some times for political mileage leaders but good signal from modi jee how any body object pakistans birth day congratulation not given from india then you can scold,1
and also need modi for minimum years fix many pending issues,1
women are powerful nature wat hinduism states have every right choose our partners dress etc women has respected man should taught have self control ardhanaariswara avatar states how wife should treated and where she belongs,1
chowkidar jibe modi ,0
know under modi rule everybody become crorepati just check bjp leaders income for them arrived then why they concern about rahul alone,0
while busy articulating the way ahead for the nation way alleviate farmers woes unemployment improving funding for health and education modi busy selling tshirts twitter his sidekick busy selling bigotry fake nationalism looks good,1
jingoism cong mediaval think tank few armchair politico that party made runing prospect electoral fiasco they made sure modi full power this time best wishes the kamdaar chowkidaar sir,1
read the truth behind how modi selling off indias last remaining precious forests two days ago bhakts chor chowkidar were abusing for sharing this story its time wake and raise our voice save this goldmine biodiversity ,1
lol who gonna marry her hippopotamus every unmarried men become hitler and modi unmarrieddivorced women become feminists with agenda destroy everyones peaceful life get life miss marvi ,1
modi the countryhe worked chaiwala not chowkidarbut thanks the corrupt fraudulent activities etc had take the avatar,2
while the modi busy dismantling our democracy congress president rahul gandhi has done everything his power fight for the rights every citizen uphold our democratic spirit ,1
congress will simplify the gabbar singh tax implemented modi government implement actual single slab gst benefit the medium and small businesses which have been destroyed gabbar singh tax ,2
that’ why will bring modi back,0
for chair that power chandrababu can any extent that how grabbed power and telgu desam party from ntramarao his father law who what modi for him just think yar ,0
"rajasthan governor kalyan singh aligarh 23rd march all are bjp workers and want the bjp emerge victorious want that once again modi should become the important for the country
sourace ani",1
centre state govts working together make india tbfree 2025 via namo app ,0
thanks for your tweet but even then you can’ beat modi @ hustings,1
promise delivery modi came power with the promise ‘achche din’ but over the last five years has only overpromised and underdelivered ,0
will give modi whistle and cap wants chowkidar akbaruddin owaisi ,1
feku narendra modi shaheed bhagat singh shaheed diwas tribute via our pms knowledge history ,0
havent read your answer yet but sure its trump modi even leader can darpok who cant even sign the setu file gathering dust his desk for last years even leader now will read your answer  ,1
india needs enemy they will reelect modi pakistan one cannot even imagine man who was accused killing people end being ,0
modi the countryhe worked chaiwala not chowkidarbut thanks the corrupt fraudulent activities etc had take the avatar ,2
logic word will defy them foreverusa was economically militarily scientifically superior most the nations 2016 but when fool said make america great again percent fools agreed that without counter questionthese modi clans are similar,1
want modi sir prime minister for long time now proved that including him too many people are against modi sir his thinking proved that thinking only for himself and his benefit,1
cant chowkidar brahmin subramanian swamy ,0
trend nothing but fooling people with hope for votes had congress atleast has vision something for this country rahul gandhi and his partymen would not have been after modi their only agenda ,0
his apprehension his real gut feeling stemmed from ground realities its for sure modi will india for long years come,1
congress years wasnt able complete one rafale deal bjp its years has already completed the rafale deal delivery rafales will start sept 2019 has already started proceedings for another fighter jet deal but congress will say that modi has hacked evms ,1
dirty politics start and doo whatever can too against modi papu raffles raffles fail chokdar chor chor chor chor chor machyee soor aur abb apne ristdaar mare hai 300 proof chayee ,2
chowkidar hee chor hain baap chor beta bada chor aur unke gujju dost maa tukdo kharidne jurrat bhi kartein hain sab chor hain aaj bjp kal nahi high time the junta realises what bjp upto one more time modi and will only have remains ाेशबचा ,1
transformation indian railways under modiji governmenta step step information ,0
jds mla asks people slap those seeking votes for modi ,0
and hope hindustan will over take all other countries the field scientific technology coming days possible modi there for another 1015 yrs jai hind ,2
"have two options this elections choose from
… lotus
… lootus nice lines seen banner bangalore want india modified agar majburi naam mahatma gandhi hai majbuti naam narendra modi hai modi for vision rahul for division",1
why need modi lead bjp government again 2019 jammu and kashmir police says baramula now free from local terrorists years vote for new india namo again  ,1
"those who themselves dont know how many fathers they have mother has idea who her kids are start and end their careers making puncture think the same way about others
waise amit modi kaun hai
naya aya hai kya maidan mein",1
boycott congress for behter india want modi,0
modi had promised congres free hindustan was holding government states three states voted opposition mere lies now penance they had doubted honest man will mandate modiji heavily wash off thier sin had not modi met this promise ,1
you think was modi behind that accident,2
rajasthan governor 23rd march all are bjp workers and want the bjp emerge victorious want that once again modi should become the important for the country ,1
will come india after announcing his resignation today are getting new nirav modi the process,1
modi haters will definitely say dubbing acha kiya ,0
"since 201516 inc insisted with single standard rate capped 
but arrogant modi sarkar destroyed msmes for yrs with the worlds most complicated with rates 1000 modifications
",2
she piggybacked modi wave one knew who she was politically 2014 there’ way she winning 2019 especially when whole bjp nosediving bihar rahul will regain his 25lac majority ‘,1
lost hopes job pak tvanchor after 23may wen modi will resume second tym fear vanishing lyk thapar into oblivion whatever anti modi jobs doing since 2002 but this croc tears wont work patriots india everybody knows who wat,0
found the article ,0
"fyi late kuldip nayar writes his book titled leaders and icons
from jinnah modi that indira gandhi was insistent cremating shastri allahabd but lalita shstri threatened fast onto death was not buried raj ghat with jai jawan jai kisan inscription",2
intentions clearly not correct javed akhtar ‘modi’ credit ,2
pappu kejri mamata look modi has bought over microsoft you must arrange for morcha protest ,0
"unemployment rate years high
male labor force shrinked since 2014
due fear being exposed modi didnt dare publish employment report mudra scheme till date",1
gawar bhakt jali also your stupid bio says counter fake news and propaganda lmao what narendra modi biopic not propaganda lol,1
that also means even congress comes power you cannot say congress did great job 20192024 because lot things started and proceeded modi govt please dont forget this future,1
"has stolen 15k and given nirav modi
such shame that you recover your personal loss cheating your customers fraud bank
please not open any accounts with these thieves
pnb the worst bank india
shame",2
sharad pawar slams modi government for failing job promise via ,0
rajasthan governor kalyan singh aligarh 23rd march all are bjp workers and want the bjp emerge victorious want that once again modi should become the ,0
lol neeha its jus like giving our head butchered those who are not even humans,1
like you modi ,0
unambiguous analysis rafael why are and pil champ after modi government ,0
modi wasnt there ambedkars timebesides learn your own historyignorance blissambedkar came the constituent assemblyvia west bengal aided mondal,1
thanks anu sharma will vote and make sure people know are motivated vote for modi ,1
more than billion muslims are not one individual just like all hindus are not genocider modi,1
modi govt came power late may 2014 sanjay jhaji admitting and accepting the fact that last two years upa govt were bad that people lost jobs,2
boss you have expressed your views several times over the past few months with heavy heartbut vote with the same heart jara heart halka karo,2
five years ago people voted for modi they will now wear namo tshirts and vote for him again ,0
many brahmins have become chowkidhars ,1
modi got vote nda alliance partner got vote way contest when your vote crosses then you can get massive gain seats that’ how your sidjiwon 2015,0
you can through the subject female dietyit shows how dominant females areso point rights when already are dominant rest the misogynistic crap cooked chauvinistic males ,2
our toi prestitute pork much pigs owaisi himself publish the same news ,1
this shows that modi lie hatred itna hai political parties pakistan mil jaenge,0
person who can beat modi modi himself just need play old videos ,1
renowned lyricist not happy with the clarificationclick here know why  ,2
journalists writers and bureaucrats given lakhmonth write against modi through cambridge analytica via ,0
know that and thats enough already simple question was regarding her donning hijaab and playing azan parliament and media channels modi didnt came into picture anywhere this but bash modi whenever possible because thats the trend,0
please vote which below made your life miserable under modi govt ,2
one vote can make all the difference answers modis election 2019 clarion call extends support his campaign ,0
lies modi exposed with facts,0
congress walo baar cunao mei pata lag jayega what modi request you wait and enjoy the moment ,1
going that analogy all modi’ are chacha bhatija then second thought “they actually are”  ,0
"worlds biggest electric car manufacturer confirms will enter india 2019 ceo founder tesla motors confirmed this today
will one the biggest make india success for modi ",1
why cant write one single tweet without blaming modi,2
did construct waterway day dreaming according these arrogant bjp ministers india had infrastructure before 2014 everything created modiare fools trust these guys ,0
tongue wagging owaisis’ bash modi that loafers not lawyers when dog wags ’ tail for love loyalty freedom expression has restrictions legal action taken maintain decorum without fear mercy such people party must banned,1
and mrs koppalatota for namo again walk for namo again@ park mathikere bangalore last saturday many people were joining our team showed their enthusiasm for narendra modi our prime minister again ,1
grace congress pays cost for not having coalition congress bhai yeh modi met thopana ,0
stop comparing bigot mass murderer modi with someone like imran khan,0
modi urges noted personalities spread voter awareness via namo app ,0
and that would modi seriously,2
saw your speech today modi could not see rdxyes cant see because not connected satellite while mobile conected with satelite,0
narendra modi’ decadeold decision now fructifies into japanese township gujarat firstpost ,0
does this happen islam,0
yes and its always modi funny guy,1
she right modi keeping watch these rich and corrupt family and their followers,1
what happened after modi took off his mic during karan thapar’ famous via ,1
final days modi government adani project jharkhand becomes indias first power sector sez the decision will save the company billion annually clean energy cess alone ,1
modi urges noted personalities spread voter awareness times india via ,0
"modi real other fake
",2
true but hve also reaffirmed voting allegience each time,1
very true sir thats why they are against modi sir alliance created for scams and corruption,1
one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his vote kar campaign via namo app ,0
sushma swaraj recounts narendra modi govts successes last years says voters will judge based commitment firstpost ,0
just years modinomics has made airlines bankrupt thats modi touch,0
raghuram rajan sent list high profile bank fraudsters modi early months his office and thereafter some reminders but modi failed act and why narendra modis campaign sheer hypocrisy ,2
ratan tata lavishes praise says will deliver ,0
through our vote ensure govt need and deserve anupam kher responds modis vote kar appeal for the 2019 elections via namo app ,0
thanks much for endorsing the best qualities modi  ,1
"tag this fast growing youtuber cared abt this country thatacc him modi destroying democracyhe blind folded other politicians looks good bad bad good
sarcasm",2
dnt turn pakistan into india like situation where millions muslims got killed terrorist modi,2
since modi came power why always feel that rahul gandhi always mute mean just cant hear him ,2
"vapas lana hai
desh agey badana hai
vote for modi vote for developement
its right each and every citizen ",1
governor kalyan singh aligarh 23rd march all are workers and want the bjp emerge victorious want that once again modi should become the important for the country ,1
after going thru all the comedy speeches shri rahul gandhii have come conclusion that his competitor not modi its rakhi sawant self obsessed cannot compare with kapil sharma far better comedian the shri rahul gandhi,1
centre state govts working together make india tbfree 2025 narendra modi via namo app ,0
modi govt hindus are behaving wildly,1
cant criticize anyone enemy country with pulling narendra modis name ,0
"from the sanitation campaign run modi
affected jai bhagwan goyal shahdara and the north eastern
launched cleanliness campaign several places delhi",0
poor kejriwal himself predicts modi rule till eternity getting nightmares which sees modi sitting diamond studded golden throne and crying and begging front him after awakening sees himself begging front shiela dikshit,2
and even print this seriously whats this election modi entire opposition whats their agenda only defeat modi there noone saying anything about nation for ,2
new post added mumbai press official site producer sandip ssingh turns singer for narendra modi biopic ,1
can you kindly elaborate the dharma friendly actions modi like rte hunar haat letting ganga tyagis die ayodhya delay etc,1
copy cat just like pakistan miadad did tried copy srikant reversed shot got out the same congress copying modi ,0
ayyo again you show your immaturity you are made for pappu modi not running away from varanasi ,0
why shud convince mat bhaai vote modi will convert mote voters same time namo than convincing opportunist what say sir,1
see the language chowkidar who are tweeting bhi sab you are bjp problem support modi amit sha but dont use bad laughing the culture rss,2
dont live denial under modi economy doldrums and jobless growth making the nation edgy agrarian crisis has worsened national security under question after massive intelligence failure pulwama attack embrace change with ,2
hahahaits like happy with modis leadershipur only worry now will remain forever you want him defeatedhow dumb reason really iit just iti has done well ppl will definitely keep him forever,1
must read ,0
you ppl deserve bjp modi alway negative for nonsense things about opposition shouting master stroke for every idiotic idea bjp does ‍♂️,2
"that modi should not the utmost importance here
ाेशबचा",0
modi’ village electrification among world’ biggest successes this year says this report ,0
balakot why doesn’ the govt release death toll why proof bhakt antinational how dare you question the army asking proof saale chale pakistan didn’ ask for proof when imran khan said received modi’ pak day bhakt mute ,0
