clean_text,category
rahul gandhi life goal simpl becom india grow potato grab land make gold modi jealou,0
appeal everyon tweetstorm via namo app,0
clean defec four gener nehru rahul visibl fast senseless ladi speak forefath led best life gener suffer modi,1
guy trueli someth els,1
star campaign myth bjp lost assembl constitu narendra modi campaign recent state poll,1
modi bjp hindunationalist india sweetiepi,0
unpreced agrarian crisi record farmer suicid last year destroy autonomi everi institut india destroy independ india media news channel achiev modi govt,1
thatvi upa rule modishah duo let delhi polic job instead duo order harass opposit colleg student,0
like fake gandhi fake modi,2
rajasthan governor kalyan singh aligarh rd march bjp worker want bjp emerg victori want modi becom import countri,1
congress parti desir make power nehrugandhi famili put brake india develop modi govt disengag brake,1
india uae relationship great success stori govern vision leadership sheikh moham bin zay prime minist modi slowli sure take shape,1
inc better modishah helm bjp poach experienc inc leader fill lacuna far dynasti word concern hard look within bjp bail despit power yr bjp could manag much,1
still hybernatingur frnd nirav modi got arrest th modiji india kya bahar bhi haath dalakar kar dabocheng true nation eader modijia bimbo profess realiti read sum news definitey give competit dumbn,1
friday express shock name mention credit film,0
one vote make differ answer modi elect clarion call extend support campaign via namo app,0
one thing campaign start well get feel whole thing soon modi campaign trail formid oppon think bjp messag multiprong cant modi messiah messag,1
narendra modi urg note person spread voter awar,0
ask three question modi question valid could kindli answer small vide minut import,1
bharat even leav term like record,0
prime minist narendra modi urg voter across countri turn larg number vote upcom lok sabha elect seri tweet modi said,1
anyon better modi nehruji expir said altern shastiji prove best ever everybodi includ modi dispens,1
dont think bought anyth whine elect card let peopl decid whether want buy modi dont blame evm rd may eci clearli said yhat elect held use evm dont vote dont trust evm,1
wear heart vote timech heart failur,2
support leader honbl prime minist narendra modi new india,1
modi bjp indian never play victim card call lsl choos fool peopl name journal liber play card see digest call intoler still talk butcher call cattel class,2
idiot ever heard russian sukhoi mki best jet iaf fleet current built indigen hal air forc farzi deshbhakt like wont even hesit shit compani defend baap modi pathet,2
imran masood want chop modi liber grace,0
vote ensur govt need deserv respond modi appeal elect via namo app,0
show govern wreck environ,0
time blind faith modi absolut hate congress milind deora elect news indian express,2
time polit mileag leader good signal modi jee bodi object pakistan birth day congratul given india scold,1
also need modi minimum year fix mani pend issu,1
women power natur wat hinduism state everi right choos partner dress etc women respect man taught self control ardhanaariswara avatar state wife treat belong,1
chowkidar jibe modi,0
know modi rule everybodi becom crorepati check bjp leader incom arriv concern rahul alon,0
busi articul way ahead nation way allevi farmer woe unemploy improv fund health educ modi busi sell tshirt twitter sidekick busi sell bigotri fake nation look good,1
jingoism cong mediav think tank armchair politico parti made rune prospect elector fiasco made sure modi full power time best wish kamdaar chowkidaar sir,1
read truth behind modi sell india last remain preciou forest two day ago bhakt chor chowkidar abus share stori time wake rais voic save goldmin biodivers,1
lol gonna marri hippopotamu everi unmarri men becom hitler modi unmarrieddivorc women becom feminist agenda destroy everyon peac life get life miss marvi,1
modi countryh work chaiwala chowkidarbut thank corrupt fraudul activ etc take avatar,2
modi busi dismantl democraci congress presid rahul gandhi done everyth power fight right everi citizen uphold democrat spirit,1
congress simplifi gabbar singh tax implement modi govern implement actual singl slab gst benefit medium small busi destroy gabbar singh tax,2
bring modi back,0
chair power chandrababu extent grab power telgu desam parti ntramarao father law modi think yar,0
rajasthan governor kalyan singh aligarh rd march bjp worker want bjp emerg victori want modi becom import countri sourac ani,1
centr state govt work togeth make india tbfree via namo app,0
thank tweet even beat modi hust,1
promis deliveri modi came power promis achch din last five year overpromis underdeliv,0
give modi whistl cap want chowkidar akbaruddin owaisi,1
feku narendra modi shahe bhagat singh shahe diwa tribut via pm knowledg histori,0
havent read answer yet sure trump modi even leader darpok cant even sign setu file gather dust desk last year even leader read answer,1
india need enemi reelect modi pakistan one cannot even imagin man accus kill peopl end,0
modi countryh work chaiwala chowkidarbut thank corrupt fraudul activ etc take avatar,2
